"gene","de_status","ctrl_1","ctrl_2","ctrl_3","trt_1","trt_2","trt_3"
"gene_271",FALSE,70,145,43,128,41,39
"gene_272",FALSE,2,3,9,26,3,3
"gene_273",FALSE,0,0,0,0,1,0
"gene_274",FALSE,4,2,2,3,0,1
"gene_275",TRUE,91,27,32,135,183,144
"gene_276",FALSE,3,5,6,28,11,36
"gene_277",FALSE,5,2,5,3,0,7
"gene_278",FALSE,0,0,0,0,0,2
"gene_279",FALSE,0,0,0,0,3,0
"gene_280",FALSE,13,14,10,2,13,3
"gene_281",FALSE,42,81,64,34,22,48
"gene_282",FALSE,30,14,12,16,8,14
"gene_283",FALSE,293,247,189,488,170,350
"gene_284",FALSE,51,21,4,10,7,5
"gene_285",FALSE,14,32,71,42,106,50
"gene_286",FALSE,1,2,7,1,16,3
"gene_287",FALSE,0,0,0,10,3,1
"gene_288",FALSE,25,0,2,14,27,3
"gene_289",FALSE,102,140,103,148,74,183
"gene_290",FALSE,3048,4282,3011,3124,2801,2752
"gene_291",FALSE,0,8,2,0,0,2
"gene_292",FALSE,101,99,64,64,56,108
"gene_293",FALSE,546,378,356,374,466,388
"gene_294",FALSE,3,3,4,0,21,0
"gene_295",FALSE,26,37,14,33,36,19
"gene_296",FALSE,42,51,9,52,23,63
"gene_297",FALSE,117,219,290,223,137,173
"gene_298",FALSE,15,0,1,0,1,3
"gene_299",FALSE,5,0,1,0,0,1
"gene_300",TRUE,25,9,31,7,3,20
"gene_301",FALSE,128,63,25,68,95,64
"gene_302",FALSE,0,0,1,0,9,1
"gene_303",FALSE,6,3,8,10,1,0
"gene_304",FALSE,176,108,109,164,49,237
"gene_305",FALSE,457,547,504,269,341,133
"gene_306",FALSE,12,27,54,38,55,32
"gene_307",FALSE,11,8,15,26,4,9
"gene_308",FALSE,61,75,41,29,38,29
"gene_309",FALSE,26,7,14,23,7,36
"gene_310",FALSE,177,290,283,224,247,194
"gene_311",FALSE,19,48,14,9,41,42
"gene_312",FALSE,0,0,0,0,1,8
"gene_313",FALSE,0,0,0,1,0,0
"gene_314",FALSE,0,9,0,0,3,0
"gene_315",FALSE,10265,7212,6755,8562,4984,15136
"gene_316",FALSE,9,3,2,1,0,0
"gene_317",FALSE,18,9,9,7,8,2
"gene_318",FALSE,12,2,16,13,5,2
"gene_319",FALSE,138,158,161,161,90,101
"gene_320",FALSE,0,4,0,0,10,1
"gene_321",FALSE,4,0,0,0,0,1
"gene_322",FALSE,16,12,14,19,19,18
"gene_323",FALSE,8,34,45,34,17,22
"gene_324",FALSE,0,4,5,3,1,6
"gene_325",TRUE,4042,5366,3973,1205,1752,1494
"gene_326",FALSE,6,20,1,14,11,14
"gene_327",FALSE,0,0,0,0,0,3
"gene_328",FALSE,79,40,45,49,133,46
"gene_329",FALSE,0,0,0,0,0,0
"gene_330",FALSE,17,3,11,10,1,4
"gene_331",FALSE,9,23,31,15,20,17
"gene_332",FALSE,0,2,0,0,2,0
"gene_333",FALSE,140,175,371,279,135,156
"gene_334",TRUE,2,7,5,0,8,5
"gene_335",FALSE,174,232,168,175,170,188
"gene_336",TRUE,0,0,0,0,0,0
"gene_337",FALSE,164,139,465,151,157,208
"gene_338",FALSE,0,0,0,0,2,0
"gene_339",FALSE,24,27,6,14,7,10
"gene_340",FALSE,40,50,64,33,31,12
"gene_341",FALSE,2,0,0,2,0,0
"gene_342",FALSE,0,0,0,0,0,1
"gene_343",FALSE,46,33,17,28,34,8
"gene_344",FALSE,7,12,16,21,10,5
"gene_345",FALSE,39,31,47,40,96,57
"gene_346",FALSE,388,269,357,695,449,397
"gene_347",FALSE,0,0,0,0,0,3
"gene_348",FALSE,72,26,44,62,42,60
"gene_349",FALSE,2,0,0,0,0,9
"gene_350",FALSE,129,138,214,217,235,240
"gene_351",FALSE,8,0,7,3,5,4
"gene_352",FALSE,43,59,54,124,43,127
"gene_353",FALSE,55,94,60,42,39,53
"gene_354",FALSE,0,1,0,5,0,0
"gene_355",FALSE,0,0,0,9,0,0
"gene_356",FALSE,4,0,0,1,7,2
"gene_357",FALSE,109,19,73,63,20,65
"gene_358",FALSE,54,113,117,35,102,55
"gene_359",FALSE,152,243,361,134,140,142
"gene_360",FALSE,0,1,0,0,0,3
"gene_361",TRUE,1,4,12,2,7,10
"gene_362",FALSE,22,41,19,133,47,40
"gene_363",FALSE,0,0,3,0,13,7
"gene_364",FALSE,2,0,4,1,0,1
"gene_365",FALSE,38,32,33,38,46,16
"gene_366",FALSE,3,0,0,2,6,2
"gene_367",FALSE,40,18,24,5,15,31
"gene_368",FALSE,12,6,4,28,15,21
"gene_369",FALSE,28,34,31,30,39,9
"gene_370",FALSE,2,0,0,12,2,2
"gene_371",FALSE,519,515,400,382,804,823
"gene_372",FALSE,19,8,4,11,6,1
"gene_373",FALSE,9,3,0,5,3,1
"gene_374",FALSE,32,17,3,1,22,3
"gene_375",FALSE,3,8,26,24,18,7
"gene_376",FALSE,9,20,10,28,2,18
"gene_377",FALSE,23,12,7,26,15,1
"gene_378",FALSE,5,3,1,0,6,2
"gene_379",FALSE,2160,1127,1977,1714,2065,2087
"gene_380",FALSE,0,0,0,0,0,2
"gene_381",FALSE,30,15,34,21,28,15
"gene_382",FALSE,6,6,6,5,2,3
"gene_383",FALSE,15,21,27,45,28,16
"gene_384",FALSE,5,5,7,4,10,19
"gene_385",FALSE,251,326,304,309,420,171
"gene_386",FALSE,100,10,21,46,11,48
"gene_387",FALSE,0,0,0,0,0,2
"gene_388",FALSE,66,36,47,75,74,81
"gene_389",FALSE,7,6,15,2,15,33
"gene_390",FALSE,116,178,137,278,114,98
"gene_391",FALSE,6,6,13,20,51,7
"gene_392",FALSE,69,23,101,47,72,112
"gene_393",FALSE,64,116,120,42,48,54
"gene_394",FALSE,0,1,0,1,0,0
"gene_395",FALSE,489,324,195,290,326,193
"gene_396",TRUE,36,38,42,9,2,8
"gene_397",FALSE,9,0,6,0,1,3
"gene_398",FALSE,4,5,20,7,10,8
"gene_399",FALSE,0,0,0,5,0,1
"gene_400",FALSE,3,11,3,16,1,10
"gene_401",FALSE,1023,965,1357,1028,585,1386
"gene_402",FALSE,104,66,60,67,45,49
"gene_403",FALSE,20,60,14,3,27,23
"gene_404",FALSE,1,0,5,1,11,1
"gene_405",FALSE,70,100,55,188,109,77
"gene_406",FALSE,0,0,0,0,0,0
"gene_407",FALSE,17,18,11,7,13,14
"gene_408",FALSE,7,17,21,7,20,7
"gene_409",FALSE,12,32,24,20,26,13
"gene_410",FALSE,44,116,34,48,28,67
"gene_411",FALSE,298,129,223,266,157,215
"gene_412",FALSE,25,4,19,21,7,9
"gene_413",FALSE,51,45,132,67,73,86
"gene_414",FALSE,53,75,58,96,61,67
"gene_415",FALSE,24,52,61,114,68,41
"gene_416",FALSE,10,11,16,17,11,7
"gene_417",FALSE,7,0,0,8,0,0
"gene_418",FALSE,4,0,4,0,0,7
"gene_419",FALSE,1,0,0,0,0,1
"gene_420",FALSE,12,49,43,33,56,53
"gene_421",FALSE,0,0,0,0,0,0
"gene_422",FALSE,367,175,243,394,348,438
"gene_423",FALSE,10,8,2,1,12,4
"gene_424",FALSE,5,4,10,12,3,9
"gene_425",FALSE,44,54,25,43,58,102
"gene_426",FALSE,6,4,4,21,3,1
"gene_427",TRUE,166,322,185,128,114,91
"gene_428",FALSE,0,3,3,0,0,0
"gene_429",FALSE,35,92,58,97,74,128
"gene_430",FALSE,156,273,281,277,250,374
"gene_431",FALSE,1340,1660,1340,1078,1335,1356
"gene_432",FALSE,425,281,345,155,215,331
"gene_433",FALSE,126,59,110,105,137,104
"gene_434",FALSE,0,3,0,1,2,0
"gene_435",FALSE,224,100,95,106,126,132
"gene_436",FALSE,204,125,100,112,106,143
"gene_437",FALSE,0,0,0,0,0,9
"gene_438",FALSE,0,1,18,0,0,0
"gene_439",FALSE,3,4,0,8,0,0
"gene_440",TRUE,11,6,7,2,0,1
"gene_441",FALSE,1,0,1,2,0,2
"gene_442",FALSE,225,438,334,625,540,179
"gene_443",FALSE,3,7,7,12,10,13
"gene_444",FALSE,0,1,2,5,15,1
"gene_445",FALSE,56,70,23,31,37,55
"gene_446",FALSE,10,8,12,5,2,2
"gene_447",FALSE,2,1,6,0,0,4
"gene_448",FALSE,1,3,2,0,7,1
"gene_449",FALSE,10,22,16,22,22,50
"gene_450",FALSE,11,4,9,2,0,2
"gene_451",TRUE,2,0,0,0,1,1
"gene_452",FALSE,69,68,42,56,150,37
"gene_453",FALSE,1,8,1,2,0,1
"gene_454",FALSE,0,0,0,0,1,0
"gene_455",FALSE,23,55,105,104,42,112
"gene_456",FALSE,57,84,85,91,131,145
"gene_457",FALSE,61,30,47,36,12,32
"gene_458",FALSE,85,50,77,88,37,52
"gene_459",FALSE,0,0,0,1,0,0
"gene_460",FALSE,167,161,379,103,152,371
"gene_461",FALSE,45,30,23,95,59,32
"gene_462",FALSE,27,48,54,36,27,113
"gene_463",FALSE,18,53,16,76,68,16
"gene_464",FALSE,142,144,151,153,129,184
"gene_465",FALSE,0,0,0,11,2,0
"gene_466",FALSE,2,19,12,7,10,5
"gene_467",FALSE,16,25,27,4,1,28
"gene_468",FALSE,265,244,79,90,213,171
"gene_469",FALSE,414,515,1033,587,661,971
"gene_470",FALSE,0,3,0,0,4,0
"gene_471",FALSE,42,76,30,74,55,103
"gene_472",TRUE,5,7,5,19,7,23
"gene_473",FALSE,1,16,0,17,1,7
"gene_474",FALSE,18,10,20,12,6,5
"gene_475",FALSE,12,6,7,9,0,7
"gene_476",TRUE,1,2,6,40,10,28
"gene_477",TRUE,14,9,17,4,4,7
"gene_478",FALSE,0,3,1,0,2,2
"gene_479",FALSE,1,1,1,12,3,2
"gene_480",FALSE,39,70,65,48,66,48
"gene_481",TRUE,27,30,16,109,122,36
"gene_482",FALSE,1,3,1,3,0,3
"gene_483",TRUE,0,5,0,1,1,1
"gene_484",FALSE,25,33,31,56,73,16
"gene_485",FALSE,2,2,4,0,4,0
"gene_486",TRUE,14,24,10,5,6,3
"gene_487",FALSE,2,5,22,3,23,11
"gene_488",FALSE,28,38,27,21,15,22
"gene_489",FALSE,1,5,1,1,0,5
"gene_490",FALSE,76,152,76,164,84,66
"gene_491",FALSE,2,5,14,4,9,16
"gene_492",FALSE,4,20,8,6,12,12
"gene_493",FALSE,27,47,46,29,33,35
"gene_494",FALSE,2,10,2,0,0,8
"gene_495",FALSE,0,0,4,3,0,0
"gene_496",FALSE,6,4,28,5,16,10
"gene_497",FALSE,0,5,3,7,2,0
"gene_498",FALSE,105,60,70,58,131,96
"gene_499",FALSE,1,1,0,0,0,0
"gene_500",FALSE,56,35,77,52,46,37
"gene_501",FALSE,96,42,60,49,51,77
"gene_502",FALSE,1,3,1,0,8,3
"gene_503",FALSE,66,41,91,48,78,99
"gene_504",FALSE,32,32,11,18,45,9
"gene_505",FALSE,2104,1884,702,1871,2202,871
"gene_506",TRUE,0,3,0,1,0,0
"gene_507",FALSE,2,0,0,0,0,0
"gene_508",FALSE,489,357,471,877,541,835
"gene_509",FALSE,7,2,9,12,9,17
"gene_510",FALSE,16,0,0,0,0,1
"gene_511",FALSE,40,22,24,31,38,0
"gene_512",FALSE,25,48,15,64,28,32
"gene_513",FALSE,0,4,0,1,0,1
"gene_514",TRUE,80,76,69,348,202,256
"gene_515",FALSE,0,1,0,1,5,11
"gene_516",FALSE,1,2,2,1,0,0
"gene_517",FALSE,10,2,3,1,2,7
"gene_518",FALSE,3,15,1,5,0,0
"gene_519",FALSE,4,4,7,3,7,5
"gene_520",FALSE,0,0,0,0,0,0
"gene_521",FALSE,9,0,3,5,0,0
"gene_522",FALSE,1,2,1,10,6,0
"gene_523",FALSE,0,2,1,0,2,1
"gene_524",FALSE,0,0,0,0,0,0
"gene_525",FALSE,14,13,6,1,0,4
"gene_526",TRUE,402,502,493,1482,1921,726
"gene_527",FALSE,0,1,0,0,5,0
"gene_528",FALSE,108,121,59,42,57,51
"gene_529",FALSE,62,79,35,60,46,77
"gene_530",FALSE,16,41,9,19,28,30
"gene_531",FALSE,0,0,0,6,1,0
"gene_532",FALSE,0,0,2,0,0,0
"gene_533",FALSE,0,5,2,13,19,7
"gene_534",FALSE,41,61,98,77,42,48
"gene_535",FALSE,11,47,14,9,5,13
"gene_536",FALSE,1107,815,1035,727,943,895
"gene_537",FALSE,8,10,7,11,1,10
"gene_538",FALSE,4,0,0,1,0,0
"gene_539",FALSE,0,0,0,0,0,0
"gene_540",FALSE,11,15,22,14,19,12
"gene_541",FALSE,0,0,0,0,4,0
"gene_542",TRUE,6,10,6,3,14,4
"gene_543",FALSE,23,9,46,27,11,34
"gene_544",TRUE,0,0,0,1,1,1
"gene_545",FALSE,0,2,6,5,0,1
"gene_546",FALSE,315,276,469,332,335,324
"gene_547",FALSE,80,115,52,36,22,86
"gene_548",FALSE,0,0,0,2,0,0
"gene_549",FALSE,0,6,2,0,16,8
"gene_550",FALSE,7,14,7,9,5,15
"gene_551",FALSE,77,103,91,42,31,72
"gene_552",FALSE,49,46,15,65,35,19
"gene_553",FALSE,40,10,3,13,46,29
"gene_554",FALSE,0,12,12,13,6,12
"gene_555",FALSE,9,17,10,5,17,6
"gene_556",FALSE,37,33,17,24,10,9
"gene_557",FALSE,0,0,0,7,0,0
"gene_558",FALSE,244,367,508,287,427,402
"gene_559",FALSE,13,8,12,17,8,10
"gene_560",TRUE,39,5,55,92,107,97
"gene_561",FALSE,337,234,241,165,223,145
"gene_562",FALSE,1171,1100,774,788,712,1266
"gene_563",FALSE,2,9,0,7,0,0
"gene_564",FALSE,18,20,2,24,9,12
"gene_565",FALSE,0,0,1,0,0,0
"gene_566",FALSE,15,40,19,23,19,14
"gene_567",FALSE,2,10,2,2,6,7
"gene_568",FALSE,59,37,62,50,22,62
"gene_569",FALSE,14,3,18,2,11,14
"gene_570",FALSE,0,0,7,0,0,0
"gene_571",FALSE,1,3,0,23,0,0
"gene_572",FALSE,0,12,0,0,0,0
"gene_573",FALSE,54,88,78,38,78,104
"gene_574",FALSE,0,0,0,1,0,0
"gene_575",FALSE,39,139,64,79,134,49
"gene_576",FALSE,228,448,670,315,272,381
"gene_577",FALSE,7,1,0,3,0,1
"gene_578",FALSE,11,0,40,0,6,26
"gene_579",FALSE,144,194,140,89,74,156
"gene_580",TRUE,0,0,1,0,1,0
"gene_581",FALSE,0,0,0,1,0,2
"gene_582",FALSE,100,107,116,63,51,130
"gene_583",TRUE,0,0,0,0,0,0
"gene_584",TRUE,21,3,0,0,0,0
"gene_585",FALSE,71,58,46,75,135,54
"gene_586",FALSE,8,41,5,10,17,8
"gene_587",FALSE,19,6,2,10,10,10
"gene_588",FALSE,3,2,0,0,0,1
"gene_589",FALSE,1023,751,777,528,913,272
"gene_590",FALSE,164,451,356,475,210,333
"gene_591",FALSE,4,22,17,20,13,19
"gene_592",FALSE,0,0,0,3,0,4
"gene_593",TRUE,0,5,1,0,0,0
"gene_594",FALSE,75,25,30,34,18,15
"gene_595",FALSE,0,2,1,7,4,7
"gene_596",FALSE,4,9,11,2,1,4
"gene_597",FALSE,13,6,0,2,6,18
"gene_598",FALSE,246,212,236,275,191,280
"gene_599",FALSE,42,53,32,43,41,25
"gene_600",FALSE,2,6,1,9,4,9
"gene_601",FALSE,0,0,0,0,0,0
